weights: {'hom': 1, 'hairpin': 1, 'similarity': 1, 'noKeyInPayload': 1, 'gcContent': 1}shapes: {'hom': 50, 'hairpin': 2, 'similarity': 50, 'noKeyInPayload': 15, 'gcContent': 7}totalSuccesses: 22
weights: {'hom': 1, 'hairpin': 1, 'similarity': 1, 'noKeyInPayload': 1, 'gcContent': 1}shapes: {'hom': 50, 'hairpin': 2, 'similarity': 50, 'noKeyInPayload': 15, 'gcContent': 10}totalSuccesses: 19
weights: {'hom': 1, 'hairpin': 1, 'similarity': 1, 'noKeyInPayload': 1, 'gcContent': 1}shapes: {'hom': 50, 'hairpin': 2, 'similarity': 50, 'noKeyInPayload': 15, 'gcContent': 13}totalSuccesses: 24
weights: {'hom': 1, 'hairpin': 1, 'similarity': 1, 'noKeyInPayload': 1, 'gcContent': 1}shapes: {'hom': 50, 'hairpin': 2, 'similarity': 50, 'noKeyInPayload': 15, 'gcContent': 16}totalSuccesses: 22
weights: {'hom': 1, 'hairpin': 1, 'similarity': 1, 'noKeyInPayload': 1, 'gcContent': 1}shapes: {'hom': 50, 'hairpin': 2, 'similarity': 50, 'noKeyInPayload': 15, 'gcContent': 19}totalSuccesses: 24
weights: {'hom': 1, 'hairpin': 1, 'similarity': 1, 'noKeyInPayload': 1, 'gcContent': 1}shapes: {'hom': 50, 'hairpin': 2, 'similarity': 50, 'noKeyInPayload': 20, 'gcContent': 7}totalSuccesses: 18
weights: {'hom': 1, 'hairpin': 1, 'similarity': 1, 'noKeyInPayload': 1, 'gcContent': 1}shapes: {'hom': 50, 'hairpin': 2, 'similarity': 50, 'noKeyInPayload': 20, 'gcContent': 10}totalSuccesses: 20
weights: {'hom': 1, 'hairpin': 1, 'similarity': 1, 'noKeyInPayload': 1, 'gcContent': 1}shapes: {'hom': 50, 'hairpin': 2, 'similarity': 50, 'noKeyInPayload': 20, 'gcContent': 13}totalSuccesses: 20
weights: {'hom': 1, 'hairpin': 1, 'similarity': 1, 'noKeyInPayload': 1, 'gcContent': 1}shapes: {'hom': 50, 'hairpin': 2, 'similarity': 50, 'noKeyInPayload': 20, 'gcContent': 16}totalSuccesses: 23
weights: {'hom': 1, 'hairpin': 1, 'similarity': 1, 'noKeyInPayload': 1, 'gcContent': 1}shapes: {'hom': 50, 'hairpin': 2, 'similarity': 50, 'noKeyInPayload': 20, 'gcContent': 19}totalSuccesses: 23
weights: {'hom': 1, 'hairpin': 1, 'similarity': 1, 'noKeyInPayload': 1, 'gcContent': 1}shapes: {'hom': 50, 'hairpin': 2, 'similarity': 50, 'noKeyInPayload': 35, 'gcContent': 7}totalSuccesses: 23
